model,accuracy,recall,f1,roc_auc
Decision Tree,0.6087746880220104,0.6305592250110084,0.26452387549644407,0.658362037391408
Logistic Regression,0.64498378697062,0.551298987230295,0.25734840698869477,0.6421763358268747
Random Forest,0.6512233467623072,0.5482166446499339,0.2596725414537491,0.6522320520527527
